RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJUST
H,186,8,700,4,16,1015675
H,306,8,700,4,16,1015675
H,395,8,100,4,16,1015675
H,506,8,700,4,16,1015675
H,835,8,800,4,16,1015675
H,989,8,700,4,16,1015675
H,1861,8,700,4,16,1015675
H,2120,8,200,4,16,1015675
H,2278,8,400,4,16,1015675
H,2428,8,500,4,16,1015675
H,2677,8,400,4,16,1015675
H,2928,8,800,4,16,1015675
H,3283,8,400,4,16,1015675
H,3331,8,600,4,16,1015675
H,3341,8,500,4,16,1015675
H,3827,8,300,4,16,1015675
H,4331,8,800,4,16,1015675
H,4425,8,400,4,16,1015675
H,4457,8,900,4,16,1015675
H,4551,8,500,4,16,1015675
H,4609,8,600,4,16,1015675
H,4720,8,200,4,16,1015675
H,5191,8,600,4,16,1015675
H,5465,8,100,4,16,1015675
H,5590,8,100,4,16,1015675
H,5763,8,800,4,16,1015675
H,5890,8,800,4,16,1015675
H,6517,8,800,4,16,1015675
H,6581,8,300,4,16,1015675
H,6789,8,600,4,16,1015675
H,7426,8,300,4,16,1015675
H,7706,8,600,4,16,1015675
H,7935,8,100,4,16,1015675
H,8107,8,800,4,16,1015675
H,9597,8,200,4,16,1015675
H,10517,8,700,4,16,1015675
H,10579,8,900,4,16,1015675
H,10717,8,800,4,16,1015675
H,11251,8,300,4,16,1015675
H,11372,8,700,4,16,1015675
H,11397,8,900,4,16,1015675
H,11618,8,900,4,16,1015675
H,11753,8,300,4,16,1015675
H,11765,8,900,4,16,1015675
H,11994,8,300,4,16,1015675
H,12073,8,200,4,16,1015675
H,12360,8,800,4,16,1015675
H,12669,8,300,4,16,1015675
H,12934,8,300,4,16,1015675
H,13453,8,700,4,16,1015675
H,13553,8,100,4,16,1015675
H,13723,8,800,4,16,1015675
H,14109,8,600,4,16,1015675
H,14465,8,600,4,16,1015675
H,14631,8,500,4,16,1015675
H,14899,8,800,4,16,1015675
H,15054,8,800,4,16,1015675
H,15142,8,600,4,16,1015675
H,15287,8,700,4,16,1015675
